registro_id,incidente_id,esperado,rotulo_livre,zero_shot,one_shot
0,INC2022-125941,CAT12,Tentativa de Brute Force,CAT12,CAT12
1,INC2022-126521,CAT12,Tentativa de acesso indevido,CAT12,CAT12
2,INC2022-127135,CAT5,Configuração Insegura de Serviço,CAT5,CAT5
3,INC2022-138345,CAT5,Vulnerabilidade de infraestrutura,CAT12,CAT5
4,INC2022-140134,CAT5,Vulnerabilidade de Reflexão,CAT5,CAT5
5,INC2022-140240,CAT12,Comprometimento de Ativo (Botnet),CAT1,CAT5
6,INC2022-144752,CAT5,Exposição de serviço vulnerável,CAT5,CAT5
7,INC2022-145040,CAT5,Vulnerabilidade de Reflexão,CAT5,CAT5
8,INC2023-003785,CAT5,Vulnerabilidade de Reflexão/Amplificação,CAT5,CAT5
9,INC2023-017112,CAT5,Exposição de serviço vulnerável,CAT12,CAT5
10,INC2023-021009,CAT5,Vulnerabilidade de Infraestrutura,CAT5,CAT5
11,INC2023-024598,CAT5,Vulnerabilidade de infraestrutura exposta,CAT5,CAT5
12,INC2023-026754,CAT5,Vulnerabilidade de serviço exposto,CAT5,CAT5
13,INC2023-027278,CAT5,Vulnerabilidade de Reflexão,CAT12,CAT5
14,INC2023-027279,CAT5,Vulnerabilidade de Reflexão,CAT12,CAT5
15,INC2023-032613,CAT3,Comprometimento de Ativo,CAT5,CAT5
16,INC2023-032614,CAT12,Varredura de rede,CAT5,CAT12
17,INC2023-033577,CAT5,Vulnerabilidade de amplificação NTP,CAT5,CAT5
18,INC2023-035005,CAT5,Vulnerabilidade de Infraestrutura,CAT5,CAT5
19,INC2023-038886,CAT5,Exposição de serviço vulnerável,CAT5,CAT5
20,INC2023-039374,CAT5,Vulnerabilidade de Reflexão,CAT12,CAT5
21,INC2023-040569,CAT5,Vulnerabilidade Crítica Exposta,CAT5,CAT5
22,INC2023-040698,CAT5,Vulnerabilidade de Software,CAT5,CAT5
23,INC2023-040699,CAT5,Vulnerabilidade de Software,CAT5,CAT5
